actor;period;name;type;vjou;vopi;vtot;repinf;popula;procli;acjou;acopi;actot;degree;corene;constr;bonpow;closen;eigenv;betwee;eigent;acjou_f;acopi_f;actot_f;degree_f;corene_f;constr_f;bonpow_f;closen_f;eigenv_f;betwee_f;eigent_f;coalit;coalea;coalea_f;coordi;liaiso;coordi_f;liaiso_f;twact;twact_log
FI001;0;0;research;1;3;4;0.528571428571429;0.651162790697674;0.340111162854173;0.644628099173554;0.583030303030303;0.63859649122807;0.62;1;0.0470101839454321;0.381766297702578;0.65506329113924;0.654683174889113;0.194762939183329;0.567472853270207;0.224137931034483;0.190476190476191;0.215189873417722;0.761904761904762;1;0.0669028240222912;0.381766297702578;0.895895895895896;0.895104179969435;0.372495484839479;0.633546887385521;0;0.491596105800312;0.699115230161049;0.271472392638037;0.5;0.578947368421053;0.5;29;0.559835993580874
FI002;0;0;corporate;0;0;0;0.3;0.116279069767442;0.38302877011199;0.890909090909091;0.572;0.821052631578947;0.36;0.933333333333333;0.0723417325490088;0.348635599390875;0.448699421965318;0.406087742420336;0.0673195284157907;0.366781047555553;0.648073022312373;0.478991596638656;0.603127326880119;0.714285714285714;1;0.0777493102183669;0.348635599390875;0.879198194610381;1;0.309223435230982;0.559011815387425;0;0.331932676158434;0.646018437256379;0.118098159509202;0.5;0.555555555555556;0.5;37;0.598745510315326
FI003;0;0;interest_group;0;0;0;0.285714285714286;0.186046511627907;0.495119023247112;0.440909090909091;0.403;0.437894736842105;0.76;1;0.00862302938713525;0.143142430129812;0.765397350993377;0.6140020273805;0.736266797540087;0.809688318334253;0.256371814092954;0.354037267080745;0.282333516785911;1;1;0;0.143142430129812;1;0.954096352454554;1;0.819880181159523;0;0.705881699565992;0.796460448854381;0.516871165644172;0.5;0.859649122807018;0.5;21;0.508784592275217
FI005;0;0;interest_group;0;0;0;0.442857142857143;0.558139534883721;0.60541686036637;0.572192513368984;0.336470588235294;0.519195046439628;0.64;1;0.033207488820227;0.656759169075421;0.685576923076923;0.726724121869795;0.204144646930941;0.667818552345145;0.336206896551724;0.25;0.313291139240506;0.476190476190476;1;0.0907273889157075;0.656759169075421;0.552469135802469;0.510589987504775;0.192102789510617;0.440996668250083;0;0.64285697830696;0.460177136444931;0.395705521472393;0.5;0.292397660818713;0.5;310;0.944768064700782
FI006;0;0;research;1;1;2;0.128571428571429;0.302325581395349;1;0.613636363636364;0.715;0.65;0.44;0.933333333333333;0.0573505016227613;0.324353605342855;0.526796407185629;0.441912713472498;0.235756564479484;0.411765385752591;0.620689655172414;0.607142857142857;0.617088607594937;0.476190476190476;1;0.127186502686309;0.324353605342855;0.634519007456301;0.502119375698925;0.25428119481279;0.602484486735425;1;0.678261631768869;0.700000858824006;0.0276073619631902;0.5;0.116959064327485;0.5;45;0.630193140752349
FI007;0;0;non_governmental;0;0;0;0.0428571428571429;0.116279069767442;1;0.181818181818182;0.231111111111111;0.19766081871345;0.14;0.466666666666667;0.282747406287265;0.332899685365299;0.0488207547169808;0.0637743228134067;0.0098279594266258;0.19031287371971;0.155172413793103;0.214285714285714;0.170886075949367;0.285714285714286;0.857142857142857;0.362940281730448;0.332899685365299;0.144909937259664;0.323412848256126;0.0172544783570318;0.335402215239;1;0.504346414734354;0.518180061802924;0.0184049079754601;0.5;0.064327485380117;0.5;1;0.114091802674775
FI008;0;0;interest_group;6;0;6;0.985714285714286;0.767441860465116;0.38302877011199;0.363636363636364;0.247;0.338684210526316;0.76;1;0.0303086521688997;0.671338768658264;0.765397350993377;0.796332472927083;0.356783321763187;0.685118808536861;0.12192118226601;0.0918367346938776;0.113924050632911;0.571428571428571;1;0.128710282476959;0.671338768658264;0.662962962962963;0.717270604082964;0.179857416807189;0.509323444272472;0;0.773109401047777;0.619469003484886;0.642638036809816;0.5;0.403508771929825;0.5;434;1
FI009;0;0;research;0;0;0;0.471428571428571;0.186046511627907;0.60541686036637;0.533724340175953;0.385806451612903;0.503225806451613;0.58;1;0.0414668521371427;0.818646873023521;0.6253125;0.680219935202777;0.144928551925027;0.581313179988338;0.362068965517241;0.371428571428571;0.364556962025316;0.619047619047619;1;0.0686805698000412;0.818646873023521;0.736625514403292;0.727003610830616;0.274441088276402;0.478265643169165;0;0.596638429153743;0.57522175425783;0.345092024539877;0.5;0.543859649122807;0.5;8;0.361662457758391
FI010;0;0;interest_group;6;1;7;0.9;0.627906976744186;0.60541686036637;0.457478005865103;0.268387096774193;0.414940577249575;0.58;1;0.0508509714102271;0.428972314542358;0.6253125;0.64361256655837;0.123174495048198;0.501728718039998;0.403448275862069;0.285714285714286;0.372151898734177;0.619047619047619;1;0.122857726333537;0.428972314542358;0.751813669339442;0.872076164110933;0.170381653431923;0.509321354125958;0;0.525210216407525;0.619469809187879;0.31441717791411;0.5;0.43859649122807;0.5;16;0.466346003924407
FI011;0;0;governmental;0;0;0;0.485714285714286;0.418604651162791;0.431043373970634;0.48;0.2704;0.432421052631579;0.46;1;0.0502011217678274;0.408770821544532;0.540361445783132;0.498539854022508;0.0790755083687859;0.501728633021714;0.337728194726166;0.151260504201681;0.288160833953835;0.714285714285714;1;0.070527256072849;0.408770821544532;0.912775093934514;0.961002446360935;0.310006506416678;0.614913539450596;0;0.495798041576513;0.725663922250253;0.20398773006135;0.5;0.56140350877193;0.5;43;0.622876394949992
