actor;procli
FI001;0.895118893540271
FI002;0.598539911533506
FI003;0.668751710425281
FI004;0.668751710425281
FI006;0.598539911533506
FI007;0.805403293106296
FI008;0.538486004424773
FI009;0.362413225481408
FI010;0.410551243241936
FI011;0.420298633713893
FI012;0.362413225481408
FI013;0.410551243241936
FI014;0.668751710425281
FI015;0.733637146038985
FI016;0.668751710425281
FI017;0.368384048229931
FI018;0.668751710425281
FI019;1
FI020;0.668751710425281
FI021;0.598539911533506
FI022;0.823249846777146
FI023;0.538486004424773
FI025;0.331159185309658
FI026;1
FI027;0.307885146277896
FI029;0.368384048229931
FI030;0.805403293106296
FI031;0
FI032;0.668751710425281
FI033;0.668751710425281
FI034;1
FI035;1
FI037;0.245545420465164
FI038;0.245545420465164
FI039;1
FI040;0.462014884345882
FI041;0.291711593476701
FI043;0.368384048229931
FI045;0.368384048229931
FI047;0.598539911533506
FI048;0.668751710425281
FI050;0.331159185309658
FI051;0.749714957324985
FI052;0.598539911533506
FI053;0.598539911533506
FI054;0.668751710425281
FI055;0.598539911533506
FI056;0.198989904000963
FI057;0.410551243241936
FI058;0.668751710425281
FI059;1
FI060;0.668751710425281
FI061;0.668751710425281
FI062;0.668751710425281
FI063;0.598539911533506
FI064;0.668751710425281
FI065;0.668751710425281
FI066;0.823249846777146
FI067;1
FI068;1
FI070;1
FI071;0.368384048229931
FI072;1
FI074;0.598539911533506
FI075;0.749714957324985
FI076;0.51824606462328
FI077;0.668751710425281
FI078;0.462014884345882
FI079;0.368384048229931
FI080;0.823249846777146
FI081;0.423473976677576
FI082;0.368384048229931
FI083;0.51824606462328
FI084;0.895118893540271
FI085;0.668751710425281
FI086;0.410551243241936
FI087;0.598539911533506
FI088;0.049813240866858
FI089;0.598539911533506
FI090;1
FI091;0.823249846777146
FI092;0.223351116623618
FI093;0.805403293106296
FI094;0.668751710425281
FI095;1
FI096;0.496608440729329
FI126;0.51824606462328
FI127;0.668751710425281
FI128;0.51824606462328
FI129;1
FI130;1
FI131;0.805403293106296
FI132;0.805403293106296
FI133;0.805403293106296
FI134;1
FI135;0.668751710425281
FI136;0.668751710425281
FI137;0.423473976677576
FI138;0.156469525727327
FI139;0.598539911533506
FI140;0.598539911533506
FI141;0.805403293106296
FI142;0.598539911533506
