actor;procli
FI001;0.340111162854173
FI002;0.38302877011199
FI003;0.495119023247112
FI004;0.60541686036637
FI005;0.60541686036637
FI006;1
FI007;1
FI008;0.38302877011199
FI009;0.60541686036637
FI010;0.60541686036637
FI011;0.431043373970634
FI012;0.38302877011199
FI013;0.60541686036637
FI014;0.375991955985168
FI015;0.564909280125547
FI016;1
FI017;0.286323270351959
FI018;0.60541686036637
FI019;0
FI020;1
FI021;0.60541686036637
FI022;0.431043373970634
FI023;0.473940063981437
FI024;0.375991955985168
FI025;0.473940063981437
FI026;0.796316386215331
FI027;0.674724162633575
FI028;0.60541686036637
FI029;0.38302877011199
FI030;0.228399465611348
FI031;0.235003445840838
FI032;0.431043373970634
FI033;0.674724162633575
FI034;0.60541686036637
FI035;1
FI036;0.60541686036637
FI037;0.745668376790128
FI038;0
FI039;1
FI040;0.221977047471234
FI041;0.193803659150945
FI042;0.13397946104114
FI043;0.38302877011199
FI044;0.495119023247112
FI045;0.38302877011199
FI046;0.82064108074014
FI047;0.495119023247112
FI048;0.38302877011199
FI049;0.193803659150945
FI050;0.049031654629364
FI051;0.473940063981437
FI052;0.495119023247112
FI053;0.448816532451385
FI054;0.431043373970634
FI055;0.796316386215331
FI056;0.495119023247112
FI057;0.235003445840838
FI058;0.674724162633575
FI059;0.796316386215331
FI060;0.60541686036637
FI061;0.495119023247112
FI062;0.674724162633575
FI063;0.60541686036637
FI064;0.156235765179364
FI065;1
FI066;0.796316386215331
FI067;0.796316386215331
FI068;0.536037183350558
FI069;0.674724162633575
FI070;1
FI071;0.674724162633575
FI072;1
FI073;0.495119023247112
FI074;0.239517483882141
FI075;0.431043373970634
FI076;0.336487771135452
FI077;0.60541686036637
FI078;1
FI079;0.0640483439052565
FI080;0.473940063981437
FI081;0.674724162633575
FI082;0.413576682076249
FI083;0.38302877011199
FI084;1
FI085;0.495119023247112
FI086;0.344535001751655
FI087;0.114831471068627
FI088;0.286323270351959
FI089;0.344535001751655
FI090;0.82064108074014
FI091;1
FI092;0.82064108074014
FI093;0.340111162854173
FI094;0.60541686036637
FI095;1
FI096;1
